channel,comparator,n,CardioSafe_AUC,comparator_AUC,delta_AUC,delta_AUC_CI_lo,delta_AUC_CI_hi,CardioSafe_MCC,comparator_MCC,delta_MCC,delta_MCC_CI_lo,delta_MCC_CI_hi
hERG 10 µM,CToxPred2,46120,0.916929,0.832114,0.084816,0.0700401,0.0996405,0.465703,0.123313,0.34239,0.321538,0.362678
hERG 10 µM,CardioGenAI,46024,0.917041,0.861652,0.0553893,0.039664,0.0704569,0.46746,0.146995,0.320466,0.299283,0.342134
hERG 1 µM,CToxPred2,46042,0.958738,0.875243,0.0834951,0.06112,0.107061,0.380552,0.0624776,0.318074,0.27469,0.36326
hERG 1 µM,CardioGenAI,45949,0.958842,0.891422,0.0674207,0.0433251,0.0897286,0.381875,0.0733275,0.308547,0.261363,0.351328
Nav1.5,CToxPred2,218,0.830636,0.783596,0.0470398,-0.0137735,0.107427,0.451377,0.383529,0.0678486,-0.0594155,0.198024
Nav1.5,CardioGenAI,217,0.831757,0.774695,0.0570618,-0.0134138,0.126228,0.45753,0.375534,0.0819956,-0.0538401,0.211262
Cav1.2,CToxPred2,160,0.841105,0.815243,0.0258621,-0.0645795,0.110525,0.488473,0.471341,0.0171315,-0.152843,0.181269
Cav1.2,CardioGenAI,160,0.841105,0.873237,-0.0321317,-0.105151,0.0385709,0.488473,0.515689,-0.027216,-0.188843,0.118699
