channel,comparator,n_total,n_leak,leak_fraction,n_kept,CardioSafe_AUC,comparator_AUC,delta_AUC,delta_AUC_CI_lo,delta_AUC_CI_hi,CardioSafe_MCC,comparator_MCC,delta_MCC,delta_MCC_CI_lo,delta_MCC_CI_hi
hERG 10 µM,CToxPred2,46120,1306,0.0283174,44814,0.899132,0.768384,0.130748,0.107198,0.155295,0.398876,0.0722589,0.326617,0.298334,0.352632
hERG 10 µM,CardioGenAI,46024,1299,0.0282244,44725,0.898884,0.783399,0.115485,0.0884572,0.143363,0.400677,0.0863743,0.314303,0.284409,0.3425
hERG 1 µM,CToxPred2,46042,1306,0.0283654,44736,0.950616,0.81243,0.138186,0.0984596,0.177864,0.34088,0.0371228,0.303757,0.244339,0.358746
hERG 1 µM,CardioGenAI,45949,1299,0.0282705,44650,0.950722,0.830845,0.119877,0.0848123,0.156922,0.342745,0.0458841,0.296861,0.244023,0.355626
Nav1.5,CToxPred2,218,48,0.220183,170,0.821158,0.760603,0.0605547,-0.00183542,0.133986,0.420601,0.32973,0.0908709,-0.0534832,0.23991
Nav1.5,CardioGenAI,217,48,0.221198,169,0.822707,0.747398,0.075309,0.00256137,0.145834,0.428403,0.314936,0.113467,-0.0334529,0.253801
Cav1.2,CToxPred2,160,33,0.20625,127,0.877331,0.77127,0.106061,0.0315597,0.194266,0.55035,0.404743,0.145607,-0.0219826,0.321044
Cav1.2,CardioGenAI,160,33,0.20625,127,0.877331,0.855186,0.0221445,-0.0499649,0.0999423,0.55035,0.487082,0.0632685,-0.0916818,0.220592
